Store Name,Street Address,City,State,Zip Code,products,lat,lng
New Seasons,6400 N. Interstate Ave.,Portland,OR,97217,831||833||2||829||834,45.56906,-122.68176
New Seasons,3495 Cedar Hills Blvd.,Beaverton,OR,97005,831||833||2||829||834,45.49444,-122.81257
New Seasons,5320 NE 33rd. Ave.,Portland,OR,97211,831||833||2||829||834,45.5612,-122.6304
New Seasons,15861 SE Happy Valley Town Center Dr.,Happy Valley,OR,97086,831||833||2||829||834,45.42832,-122.49979
New Seasons,4034 SE Hawthorne Blvd.,Portland,OR,97214,831||833||2||829||834,45.51174,-122.62035
New Seasons,3 SW Monroe Parkway,Lake Oswego,OR,97035,831||833||2||829||834,45.43361,-122.70225
New Seasons,1453 NE 61st Ave.,Hillsboro,OR,97124,831||833||2||829||834,45.53428,-122.9192
New Seasons,7300 SW Beaverton-Hillsdale Hwy.,Portland,OR,97225,831||833||2||829||834,45.48606,-122.75202
New Seasons,1214 SE Tacoma St.,Portland,OR,97202,831||833||2||829||834,45.46403,-122.65373
New Seasons,1954 SE Division St.,Portland,OR,97202,831||833||2||829||834,45.50422,-122.64608
Food City,300 N Florence,Casa Grande,AZ,85222,2||834||827,32.8767,-111.75394
Food City,3131  E  Indian School Rd,Phoenix,AZ,85016,2||834||827,33.49426,-112.01419
Food City,1342 E. Main Street,Mesa,AZ,85203,2||834||827,33.41538,-111.802
Food City,2124 E. McDowell Rd,Phoenix,AZ,85006,2||834||827,33.46597,-112.03739
Food City,1162 E Florence Blvd,Casa Grande,AZ,85222,2||834||827,32.87936,-111.7153
Food City,2806 W Cactus Rd,Phoenix,AZ,85029,2||834||827,33.59716,-112.11819
Food City,450 E Southern Ave,Mesa,AZ,85204,2||834||827,33.39337,-111.82127
Food City,1005 N Arizona Ave,Chandler,AZ,85225,2||834||827,33.32149,-111.83952
Food City,1501 E Hwy 89A,Cottonwood,AZ,86326,2||834||827,34.7286,-112.0099
Food City,1845 N Scottsdale Rd,Tempe,AZ,85281,2||834||827,33.45024,-111.92546
Food City,450 N Grand Court Plaza,Nogales,AZ,85621,2||834||827,31.33973,-110.93708
Food City,3923 N Flowing Wells,Tucson,AZ,85705,2||834||827,32.27797,-110.99501
Food City,2950 S. 6th Ave,Tucson,AZ,85713,2||834||827,32.18875,-110.96837
Food City,323 E Main St.,Avondale,AZ,85323,2||834||827,33.43097,-112.34565
Food City,12321 N West Grand Ave,El Mirage,AZ,85335,2||834||827,33.61841,-112.3258
Food City,1450 N. Dysart Rd,Avondale,AZ,85323,2||834||827,33.44923,-112.34252
Food City,3442 W Van Buren Rd,Phoenix,AZ,85009,2||834||827,33.45189,-112.14076
Food City,1940 W Indian School Rd,Phoenix,AZ,85015,2||834||827,33.49677,-112.10151
Food City,1338 E Apache Blvd,Tempe,AZ,85281,2||834||827,33.41544,-111.91552
Food City,4239 W. McDowell Rd,Phoenix,AZ,85009,2||834||827,33.46502,-112.15022
Food City,3202 E. Greenway Rd,Phoenix,AZ,85036,2||834||827,33.62633,-112.01216
Food City,3514 W. Glendale Ave,Phoenix,AZ,85051,2||834||827,33.53989,-112.13514
Food City,7227 S. Central Ave,Phoenix,AZ,85034,2||834||827,33.38039,-112.0711
Food City,1831 Kiowa Ave Ste 100,Lake Havasu,AZ,86403,2||834||827,34.50303,-114.34942
